Date,Open,High,Low,Close,Volume,Adj. Close
18-05-2018,8298,8328.23,7929.53,8117.09,8440.506258,8117.09
19-05-2018,8117.14,8395,8088.46,8310,4579.259691,8310
20-05-2018,8301.16,8377.29,8170.71,8377.2,4194.898963,8377.2
21-05-2018,8377.28,8590,8358.17,8409.42,6646.453519,8409.42
22-05-2018,8419.03,8455,8119.38,8232.8,7391.793745,8232.8
23-05-2018,8222.02,8259.95,7676.27,7710.02,12114.98288,7710.02
24-05-2018,7714.9,7733.99,7267.24,7566.92,17676.87005,7566.92
25-05-2018,7567.93,7661.07,7328.13,7500,10466.79619,7500
26-05-2018,7500.01,7622.87,7360.5,7534.58,4897.950779,7534.58
27-05-2018,7534.58,7614.9,7213.09,7337.99,3791.649408,7337.99
28-05-2018,7345.63,7445,7170,7244.95,5359.562869,7244.95
29-05-2018,7244.43,7484.39,7026.9,7425,10506.71057,7425
30-05-2018,7424.99,7559,7305,7336.6,9164.492182,7336.6
31-05-2018,7335.41,7599.99,7273.89,7553.33,7055.992876,7553.33
1/6/2018,7558.05,7620.01,7348.45,7436.55,8072.425682,7436.55
2/6/2018,7436.5,7700,7388.32,7620.52,4644.220542,7620.52
3/6/2018,7620.5,7790.69,7581.03,7716.82,3972.089334,7716.82
4/6/2018,7716.36,7764.44,7456.06,7505,6760.603924,7505
5/6/2018,7505.1,7570.99,7360,7570.99,8064.998343,7570.99
6/6/2018,7570.99,7685,7537.12,7651.28,7524.821419,7651.28
7/6/2018,7651.17,7750,7482.61,7686.16,8906.453874,7686.16
8/6/2018,7686.99,7733.99,7542,7637.45,5333.269102,7637.45
9/6/2018,7637.45,7686.45,7575,7621.45,2577.717832,7621.45
10/6/2018,7621.57,7636.59,7175.83,7246.69,5946.58689,7246.69
11/6/2018,7244.34,7254.55,6627.7,6713.95,18312.72726,6713.95
12/6/2018,6704.91,6919.97,6680,6764.71,6990.085172,6764.71
13-06-2018,6765.79,6770.15,6351,6386.87,15739.2593,6386.87
14-06-2018,6386.86,6549,6120,6356.53,17668.07782,6356.53
15-06-2018,6356.3,6708.1,6348.66,6530,10017.05701,6530
16-06-2018,6542.5,6624.79,6333.63,6364.7,3947.454075,6364.7
17-06-2018,6364.99,6575.35,6336.37,6514.55,3098.965862,6514.55
18-06-2018,6523.92,6553.61,6381.25,6465.99,4275.005751,6465.99
19-06-2018,6465.99,6841.81,6457.39,6747.57,6660.787771,6747.57
20-06-2018,6747.57,6783.02,6558.95,6761.01,5280.117752,6761.01
21-06-2018,6761.01,6809.26,6677.85,6722.91,4822.588908,6722.91
22-06-2018,6721.7,6754.16,6085.59,6159.71,14220.37866,6159.71
23-06-2018,6158.6,6250,5940,6117.98,9084.067388,6117.98
24-06-2018,6117.98,6261,5780,5788.72,8998.691777,5788.72
25-06-2018,5789.74,6365.34,5780,6289.31,11387.91989,6289.31
26-06-2018,6297.96,6324.99,6120,6188,6264.175457,6188
27-06-2018,6193.1,6264,5985,6105.85,9176.558614,6105.85
28-06-2018,6104.99,6181.11,6060,6091.2,5445.840392,6091.2
29-06-2018,6096.91,6112.42,5774.72,5896.02,12707.95351,5896.02
30-06-2018,5900.8,6510,5861.57,6372.83,10035.16386,6372.83
1/7/2018,6370,6438.55,6259.34,6315.68,4308.932242,6315.68
2/7/2018,6318.28,6664,6270.69,6610.94,8109.413162,6610.94
3/7/2018,6616.98,6667.57,6533,6582.15,5426.163107,6582.15
